City,X,Y
Ужгород,-349.0,2.0
Львів,-353.0,83.0
Луцьк,-260.0,182.0
Рівне,-213.0,210.0
Тернопіль,-261.0,78.0
Івано-франківськ,-305.0,20.0
Чернівці,-256.0,-23.0
Хмельницький,-194.0,87.0
Житомир,-144.0,145.0
Вінниця,-143.0,29.0
Київ,-35.0,134.0
Черкаси,3.0,52.0
Чернігів,-5.0,215.0
Суми,112.0,169.0
Кіровоград,-7.0,-5.0
Одеса,-53.0,-103.0
Миколаїв,6.0,-72.0
Херсон,85.0,-125.0
Дніпропетровськ,127.0,-9.0
Запоріжжя,179.0,-79.0
Крим,131.0,-217.0
Донецьк,275.0,-29.0
Луганськ,339.0,38.0
Полтава,88.0,85.0
Харків,204.0,101.0
